#Format: JPTC/2
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-13T16:24:54.453Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Canon EOS R6 Mark II
#ImageWidth: 6000
#ImageHeight: 4000
#
#Corrected: ImageWidth/ImageHeight were submitted swapped and have been transposed here.
# Submitted as 4000x6000. The EOS R6 Mark II writes 6000x4000, and #RawSize
# 6188x4120 in this same header is landscape, so the sensor is not portrait.
# Nothing else in these files was touched. ImagePixels was already right, which
# is why no pixel-count check could have caught this: only the orientation was
# wrong, and every curve here is normalised by the HEIGHT.
# Transposed on 2026-08-14 by the analyst, not by the collector.
#ImagePixels: 24000000
#Firmware: 1.5.0
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 6188x4120
#SensorBlackTag: 511
#SensorMaximum: 16383
#Pairing: Differential
#CropMosaic: 512x512
#PlanePerChannel: 256x256
#ISO: 100
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
#ChannelOrder: R,G1,G2,B by colour. G1 shares its row with red.
# Levels are raw. No black level has been subtracted, and none is quoted:
# the black level is a measurement of its own and lives in the dark set,
# which travels in the same submission. Joining the two is an analysis
# step, and doing it here would make one entry depend on another having
# been processed first -- a rule the person shooting should not have to know.
# StdDiff is the standard deviation of A-B. Not halved, not corrected.
# StdDiffClipped is the same after the sigma clip; the unclipped value is
# kept beside it so the clip can be judged rather than trusted.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
# The two frames of a pair are grouped on an identical ShutterSec, so the
# fractions below are the ones frame A holds.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,Filename,FileB,N,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std,R_MeanB,G1_MeanB,G2_MeanB,B_MeanB,R_StdB,G1_StdB,G2_StdB,B_StdB,R_StdMasked,G1_StdMasked,G2_StdMasked,B_StdMasked,R_StdDiff,G1_StdDiff,G2_StdDiff,B_StdDiff,R_StdDiffClipped,G1_StdDiffClipped,G2_StdDiffClipped,B_StdDiffClipped,R_DiffOffset,G1_DiffOffset,G2_DiffOffset,B_DiffOffset,R_Rejected,G1_Rejected,G2_Rejected,B_Rejected,R_ClipFrac,G1_ClipFrac,G2_ClipFrac,B_ClipFrac
100,10,,,0,FU4A2496.CR3,FU4A2497.CR3,65536,16306,16383,16383,16383,0,0,0,0,16306,16383,16383,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100,6,,,0,FU4A2498.CR3,FU4A2499.CR3,65536,16306,16383,16383,16383,0,0,0,0,16306,16383,16383,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100,4,,,0,FU4A2500.CR3,FU4A2501.CR3,65536,16306,16383,16383,16383,0,0,0,0,16306,16383,16383,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100,2.5,,,0,FU4A2502.CR3,FU4A2503.CR3,65536,16306,16383,16383,16383,0,0,0,0,16306,16383,16383,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100,1.600000023841858,,,0,FU4A2504.CR3,FU4A2505.CR3,65536,15824.954849243164,16383,16383,14271.35920715332,88.20165114213913,0,0,93.88345831197552,15809.867446899414,16383,16383,14265.545120239258,88.24155081545567,0,0,94.1101655294017,88.14446229369086,0,0,93.82713068471766,68.40946883473983,0,0,74.66778514810363,68.10533051779842,0,0,74.48423818539472,15.08740234375,0,0,5.8140869140625,45,0,0,25,0,1,1,0
100,1,,,0,FU4A2506.CR3,FU4A2507.CR3,65536,9932.476348876953,14510.41567993164,14516.352981567383,8747.578231811523,62.702684896543936,74.8761730568557,74.77669321888477,62.513641438608055,9927.665969848633,14504.634048461914,14510.7685546875,8744.623779296875,62.77057312162023,75.38601967763854,74.88780972721074,62.58180466522141,62.66626413000348,74.84075347961826,74.74486345735235,62.489803276335984,57.469920292833805,63.77020046148531,64.44639029725157,57.351928897251874,57.32806072699945,63.596911103900794,64.27742875851827,57.165530415533546,4.8103790283203125,5.7816314697265625,5.5844268798828125,2.9544525146484375,25,27,27,32,0,0,0,0
100,0.6000000238418579,,,0,FU4A2508.CR3,FU4A2509.CR3,65536,6332.431259155273,9309.053894042969,9295.764907836914,5590.531585693359,45.004760787247655,56.26286679503597,55.990003485881,44.09806148512497,6331.772003173828,9308.591354370117,9295.597564697266,5590.277938842773,44.93890213584824,56.35716099852182,55.99016008701857,44.1307396747395,44.96820365221575,56.209905922346245,55.95522551800061,44.056525778729394,44.552498489053235,54.321171894112744,54.189949840645646,44.59038646926438,44.42583571011799,54.143208318187185,53.98850602339378,44.425880214438095,0.6592559814453125,0.4625396728515625,0.1673431396484375,0.2536468505859375,30,34,39,35,0,0,0,0
100,0.4000000059604645,,,0,FU4A2510.CR3,FU4A2511.CR3,65536,4132.1737060546875,5972.940399169922,5964.670272827148,3665.901641845703,32.90092832452374,40.90980933928957,40.565155263516885,32.012668198771095,4131.36686706543,5971.734268188477,5963.429122924805,3665.1620025634766,32.94738967250899,40.72980362890647,40.500058968708956,31.938001429094182,32.87861044802037,40.870411210162786,40.53850848486816,31.981471688623007,34.7763026014239,41.96131952834608,42.08567864236351,34.87694494729029,34.69347552858471,41.823635524733376,41.972692413142454,34.7565129851726,0.8068389892578125,1.2061309814453125,1.24114990234375,0.7396392822265625,25,33,27,36,0,0,0,0
100,0.25,,,0,FU4A2512.CR3,FU4A2513.CR3,65536,2774.324737548828,3921.2584686279297,3916.111572265625,2478.3784942626953,24.512576180791715,30.179344094076207,29.884452892097755,23.77358500547618,2773.7554931640625,3920.3239135742188,3915.076385498047,2478.0433959960938,24.599522816746706,30.0851425149622,30.09832254169107,23.791659669660554,24.477231334881164,30.156371521349747,29.84981227097385,23.755617183750598,27.679547458510093,32.775864630941456,32.820245093116384,27.415709311774002,27.58869569381696,32.67369549174368,32.703924000373874,27.345362770169636,0.569244384765625,0.9345550537109375,1.035186767578125,0.3350982666015625,32,32,35,26,0,0,0,0
100,0.1666666716337204,,,0,FU4A2514.CR3,FU4A2515.CR3,65536,1926.5776824951172,2645.965850830078,2642.4832153320312,1740.9096984863281,18.320906412799648,22.532752481058733,22.556625096120726,17.824124708271572,1926.6504516601562,2646.126724243164,2642.558883666992,1741.0286560058594,18.29298967845529,22.510935282569754,22.629192102455605,17.852773185104592,18.30502923347135,22.51374562202712,22.531058780518016,17.80585177552162,21.80485874440891,25.822895381142594,26.072929672715247,21.55727168665672,21.748336266834855,25.73245408505433,25.96552661235194,21.490762686011198,-0.0727691650390625,-0.1608734130859375,-0.0756683349609375,-0.11895751953125,25,34,43,31,0,0,0,0
