brand,model,sensor_id,iso_manufacturer,iso_measured,gray_level_255,gray_pct,snr_db
Canon,EOS 30D,179,100,103.0,0.16544321079716,0.0648796905086902,0
Canon,EOS 30D,179,100,103.0,0.21618061726983,0.0847767126548353,2.7209850105415
Canon,EOS 30D,179,100,103.0,0.32462514513545,0.12730397848449018,6.0946889548409
Canon,EOS 30D,179,100,103.0,0.4,0.15686274509803924,8.4501100399538
Canon,EOS 30D,179,100,103.0,0.66886759218769,0.2623010165441922,10.249423347555
Canon,EOS 30D,179,100,103.0,0.7,0.2745098039215686,12.906541480374
Canon,EOS 30D,179,100,103.0,1,0.39215686274509803,15.633819933752
Canon,EOS 30D,179,100,103.0,2,0.7843137254901961,20.601909883966
Canon,EOS 30D,179,100,103.0,3,1.1764705882352942,23.270818274824
Canon,EOS 30D,179,100,103.0,4,1.5686274509803921,25.051596923771
Canon,EOS 30D,179,100,103.0,5,1.9607843137254901,26.36915131852
Canon,EOS 30D,179,100,103.0,6,2.3529411764705883,27.40570855395
Canon,EOS 30D,179,100,103.0,7,2.7450980392156863,28.255155327785
Canon,EOS 30D,179,100,103.0,8,3.1372549019607843,28.971799023572
Canon,EOS 30D,179,100,103.0,9,3.5294117647058822,29.589689880555
Canon,EOS 30D,179,100,103.0,10,3.9215686274509802,30.131490202055
Canon,EOS 30D,179,100,103.0,11,4.313725490196078,30.612994750666
Canon,EOS 30D,179,100,103.0,12,4.705882352941177,31.045623924765
Canon,EOS 30D,179,100,103.0,13,5.098039215686274,31.43788670399
Canon,EOS 30D,179,100,103.0,14,5.490196078431373,31.796283113231
Canon,EOS 30D,179,100,103.0,15,5.88235294117647,32.125884424359
Canon,EOS 30D,179,100,103.0,20,7.8431372549019605,33.45931217903
Canon,EOS 30D,179,100,103.0,25,9.803921568627452,34.449441966804
Canon,EOS 30D,179,100,103.0,30,11.76470588235294,35.230254005464
Canon,EOS 30D,179,100,103.0,35,13.725490196078432,35.870540045233
Canon,EOS 30D,179,100,103.0,42,16.470588235294116,36.60385943349
Canon,EOS 30D,179,100,103.0,43,16.862745098039216,36.69657007945
Canon,EOS 30D,179,100,103.0,44,17.254901960784313,36.78671608043
