#Format: JPTC/2
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T05:15:50.452Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Canon EOS R5 Mark II
#ImageWidth: 8192
#ImageHeight: 5464
#ImagePixels: 44761088
#Firmware: 1.3.1
#Lens: RF35VCM
#ShutterType: 机械快门
#Compression: 佳能raw
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8480x5650
#SensorBlackTag: 512
#SensorMaximum: 16383
#Pairing: Differential
#CropMosaic: 512x512
#PlanePerChannel: 256x256
#ISO: 100
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
#ChannelOrder: R,G1,G2,B by colour. G1 shares its row with red.
# Levels are raw. No black level has been subtracted, and none is quoted:
# the black level is a measurement of its own and lives in the dark set,
# which travels in the same submission. Joining the two is an analysis
# step, and doing it here would make one entry depend on another having
# been processed first -- a rule the person shooting should not have to know.
# StdDiff is the standard deviation of A-B. Not halved, not corrected.
# StdDiffClipped is the same after the sigma clip; the unclipped value is
# kept beside it so the clip can be judged rather than trusted.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
# The two frames of a pair are grouped on an identical ShutterSec, so the
# fractions below are the ones frame A holds.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,Filename,FileB,N,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std,R_MeanB,G1_MeanB,G2_MeanB,B_MeanB,R_StdB,G1_StdB,G2_StdB,B_StdB,R_StdMasked,G1_StdMasked,G2_StdMasked,B_StdMasked,R_StdDiff,G1_StdDiff,G2_StdDiff,B_StdDiff,R_StdDiffClipped,G1_StdDiffClipped,G2_StdDiffClipped,B_StdDiffClipped,R_DiffOffset,G1_DiffOffset,G2_DiffOffset,B_DiffOffset,R_Rejected,G1_Rejected,G2_Rejected,B_Rejected,R_ClipFrac,G1_ClipFrac,G2_ClipFrac,B_ClipFrac
100,4,,,0,166A1599.CR3,166A1600.CR3,65536,16383,16383,16383,16383,0,0,0,0,16383,16383,16383,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
100,2.5,,,0,166A1601.CR3,166A1602.CR3,65536,13228.895095825195,16383,16383,16383,107.85376745154937,0,0,0,13234.233444213867,16383,16383,16383,107.57267394229049,0,0,0,107.81286078400409,0,0,0,84.74907059228642,0,0,0,84.4921843179732,0,0,0,-5.338348388671875,0,0,0,31,0,0,0,0,1,1,1
100,1.600000023841858,,,0,166A1603.CR3,166A1604.CR3,65536,8634.09243774414,15737.158126831055,15721.898162841797,11351.078109741211,76.78249101960823,97.60729237777333,97.62396081635968,91.94117451149641,8631.50178527832,15737.374572753906,15721.590209960938,11347.763793945312,76.48568909383185,97.3311714655794,97.90975697467876,92.14860746852924,76.70500866435819,97.55023710294687,97.56141521705463,91.88804206535005,68.63845317234231,89.94775784385259,88.66708246503136,84.81129740231835,68.35212999827617,89.65726061422433,88.42411726683152,84.59145726369741,2.5906524658203125,-0.2164459228515625,0.307952880859375,3.3143157958984375,42,32,28,26,0,0,0,0
100,1,,,0,166A1605.CR3,166A1606.CR3,65536,5621.269226074219,10210.763793945312,10207.539657592773,7382.818130493164,56.952776891744136,71.12365379240204,72.06192742671342,74.80139215836432,5621.861389160156,10213.39469909668,10212.307922363281,7384.558319091797,56.56277276325521,71.16250360873096,72.41828412487946,74.00429086767,56.8888014273037,71.04497363287584,72.0116963642146,74.74766517991651,56.144381572209824,71.85245270277628,72.41600587599413,75.31055706850489,55.98405595463986,71.56392219358729,72.2005264858467,75.0827753838338,-0.5921630859375,-2.6309051513671875,-4.7682647705078125,-1.7401885986328125,28,39,30,30,0,0,0,0
100,0.6000000238418579,,,0,166A1607.CR3,166A1608.CR3,65536,3598.1239013671875,6440.966018676758,6440.272521972656,4641.688812255859,39.767749090412316,52.49803308592023,53.02080026423818,48.92869824370666,3594.694580078125,6437.050109863281,6436.093063354492,4642.546005249023,39.857064890056414,52.47011312042956,53.143290396915,48.638971598534624,39.72966760120051,52.44213711671012,52.95803050897799,48.87844346366213,42.22821094110008,57.13142550175543,57.60229076643901,52.56997842605701,42.09679750242948,56.92139021293946,57.401538033746874,52.38317049579637,3.4293212890625,3.9159088134765625,4.1794586181640625,-0.8571929931640625,31,37,34,35,0,0,0,0
100,0.4000000059604645,,,0,166A1609.CR3,166A1610.CR3,65536,2448.507598876953,4219.145004272461,4217.806900024414,3108.771987915039,29.719858363826322,39.556434537304995,39.98562710416966,36.99496063607972,2450.3224334716797,4222.186294555664,4220.987594604492,3110.9744873046875,29.894079094020846,39.680812885671195,39.81774242474046,37.00083559579584,29.68287850378887,39.52298172708408,39.95023765454222,36.96147491709209,33.627396127563266,44.63977301676128,44.67096874322814,41.942140738940516,33.48125573304117,44.49331245420927,44.56120108495289,41.81965969614639,-1.8148345947265625,-3.041290283203125,-3.180694580078125,-2.2024993896484375,43,33,26,30,0,0,0,0
100,0.25,,,0,166A1611.CR3,166A1612.CR3,65536,1727.8506164550781,2846.74951171875,2845.837646484375,2141.7465209960938,22.462000680178527,30.571557474415,30.57950015681172,28.14529632363719,1728.1908721923828,2847.2767181396484,2846.567596435547,2142.511032104492,22.376888977085947,30.672440016846988,30.640230431215265,27.98194385163769,22.440743230341766,30.532466267734687,30.556149416151225,28.11699851720339,26.60050854431465,35.782077690701136,35.71593004990683,33.2654386061772,26.526509583609432,35.64982268520325,35.626738439387296,33.17208935000555,-0.3402557373046875,-0.5272064208984375,-0.729949951171875,-0.7645111083984375,27,37,26,28,0,0,0,0
100,0.1666666716337204,,,0,166A1613.CR3,166A1614.CR3,65536,1275.2596130371094,1978.71337890625,1978.2199401855469,1534.9690399169922,16.99943986966613,23.34909802469458,23.581246640821433,21.194060306950355,1274.8012237548828,1977.9811248779297,1977.2246704101562,1534.2872619628906,17.048997262308493,23.50195304167513,23.44798065166703,21.27759322008442,16.980927024613603,23.327637230992256,23.54574007712794,21.175044675754876,21.12607073840533,28.418272512260813,28.532528872128534,26.41202208843669,21.063688207069646,28.323687737151285,28.42997041380663,26.33178974847211,0.4583892822265625,0.7322540283203125,0.995269775390625,0.6817779541015625,30,34,37,30,0,0,0,0
100,0.10000000149011612,,,0,166A1615.CR3,166A1616.CR3,65536,991.1610412597656,1432.2865905761719,1431.9144287109375,1154.0001831054688,13.072532348961095,17.96650633542852,18.01940584615123,16.136597423924325,990.9682006835938,1432.5146179199219,1432.2818450927734,1154.5160369873047,13.008335051326814,18.07333298013933,17.979965215370022,16.333492841549152,13.058542475262449,17.948799029416016,17.992830683313464,16.110735530514315,16.71614151222605,22.55152213650565,22.64930489319869,20.839630247995323,16.674653756256316,22.48650948942082,22.570734309981596,20.75589872893788,0.192840576171875,-0.22802734375,-0.3674163818359375,-0.5158538818359375,25,29,34,39,0,0,0,0
100,0.06666667014360428,,,0,166A1617.CR3,166A1618.CR3,65536,812.7042694091797,1089.5316009521484,1089.4135131835938,915.2938232421875,10.068394662265407,13.81959677855782,13.797352854651216,12.416697718521378,812.7830047607422,1089.5898742675781,1089.5953216552734,915.3195037841797,10.085298155758613,13.747248496996857,13.859732050530472,12.437148869863762,10.05284604732496,13.807139609662752,13.781157427910541,12.39578951404575,13.288139470119187,17.860659717615658,17.82665904403176,16.40143567138879,13.24368589449665,17.81621634363959,17.77507541910098,16.347356878159736,-0.0787353515625,-0.0582733154296875,-0.1818084716796875,-0.0256805419921875,34,25,28,34,0,0,0,0
