#Format: JPTC-ISOGAIN/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T05:14:10.888Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Canon EOS R5 Mark II
#ImageWidth: 8192
#ImageHeight: 5464
#ImagePixels: 44761088
#Firmware: 1.3.1
#Lens: RF35VCM
#ShutterType: 机械快门
#Compression: 佳能raw
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8480x5650
#SensorBlackTag: 512
#SensorMaximum: 16383
#Ladder: auto-shutter
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
# ShutterSec is the NOMINAL time from the file. A mechanical shutter
# departs from it systematically and unreadably, which is what the
# paired-shutter ladder exists to sidestep.
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
#
# g1/g2 = (t1/t2) * (Mean2 - BL2) / (Mean1 - BL1), with BL from the dark set.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,ShutterGroup,File,Channel,ColorIndex,N,Mean,Std,ClipFrac
400,0.10000000149011612,,,1.399999976158142,0.100000,166A1575.CR3,C11,2,5752500,2471.263080747501,290.43081775384746,0
500,0.07692307978868484,,,1.399999976158142,0.0769231,166A1576.CR3,C00,0,5752500,2713.226187744459,411.2109450971848,0
500,0.07692307978868484,,,1.399999976158142,0.0769231,166A1576.CR3,C01,1,5752500,2984.9305043024774,619.4251937474384,0
500,0.07692307978868484,,,1.399999976158142,0.0769231,166A1576.CR3,C10,3,5752500,2984.9236964797915,619.1491819912885,0
500,0.07692307978868484,,,1.399999976158142,0.0769231,166A1576.CR3,C11,2,5752500,2465.6837681008255,286.76713604988277,0
640,0.06666667014360428,,,1.399999976158142,0.0666667,166A1577.CR3,C00,0,5752500,2716.59509726206,413.5460450976174,0
640,0.06666667014360428,,,1.399999976158142,0.0666667,166A1577.CR3,C01,1,5752500,2988.0904046936116,621.6068923438776,0
640,0.06666667014360428,,,1.399999976158142,0.0666667,166A1577.CR3,C10,3,5752500,2988.2552660582355,621.4099270667768,0
640,0.06666667014360428,,,1.399999976158142,0.0666667,166A1577.CR3,C11,2,5752500,2466.9230777922644,287.82369739340186,0
800,0.05000000074505806,,,1.399999976158142,0.0500000,166A1578.CR3,C00,0,5752500,2718.166830595393,415.15997313725114,0
800,0.05000000074505806,,,1.399999976158142,0.0500000,166A1578.CR3,C01,1,5752500,2991.0275829639286,624.7819941441335,0
800,0.05000000074505806,,,1.399999976158142,0.0500000,166A1578.CR3,C10,3,5752500,2990.7965218600607,624.2809304963448,0
800,0.05000000074505806,,,1.399999976158142,0.0500000,166A1578.CR3,C11,2,5752500,2468.147769665363,289.01185342607613,0
1000,0.03999999910593033,,,1.399999976158142,0.0400000,166A1579.CR3,C00,0,5752500,2721.09623972186,417.0740484257366,0
1000,0.03999999910593033,,,1.399999976158142,0.0400000,166A1579.CR3,C01,1,5752500,2994.881227813994,627.2778171708175,0
1000,0.03999999910593033,,,1.399999976158142,0.0400000,166A1579.CR3,C10,3,5752500,2994.820623381139,626.8507313480012,0
1000,0.03999999910593033,,,1.399999976158142,0.0400000,166A1579.CR3,C11,2,5752500,2470.9753156019124,291.3012869216333,0
1250,0.03333333507180214,,,1.399999976158142,0.0333333,166A1580.CR3,C00,0,5752500,2715.105422164276,413.57005807493573,0
1250,0.03333333507180214,,,1.399999976158142,0.0333333,166A1580.CR3,C01,1,5752500,2986.621515688831,621.8918912460279,0
1250,0.03333333507180214,,,1.399999976158142,0.0333333,166A1580.CR3,C10,3,5752500,2986.6711389830507,621.4840931548651,0
1250,0.03333333507180214,,,1.399999976158142,0.0333333,166A1580.CR3,C11,2,5752500,2468.211662407649,289.8047279917202,0
1600,0.02500000037252903,,,1.399999976158142,0.0250000,166A1581.CR3,C00,0,5752500,2708.529846501521,411.0138361581763,0
1600,0.02500000037252903,,,1.399999976158142,0.0250000,166A1581.CR3,C01,1,5752500,2978.375312820513,617.8485361604646,0
1600,0.02500000037252903,,,1.399999976158142,0.0250000,166A1581.CR3,C10,3,5752500,2978.297786179922,617.3155144549214,0
1600,0.02500000037252903,,,1.399999976158142,0.0250000,166A1581.CR3,C11,2,5752500,2464.569039374185,288.3939785397641,0
2000,0.019999999552965164,,,1.399999976158142,0.0200000,166A1582.CR3,C00,0,5752500,2719.9307591481966,418.864710981994,0
2000,0.019999999552965164,,,1.399999976158142,0.0200000,166A1582.CR3,C01,1,5752500,2992.981728639722,627.8392930313883,0
2000,0.019999999552965164,,,1.399999976158142,0.0200000,166A1582.CR3,C10,3,5752500,2992.9599591481965,627.3137182864351,0
2000,0.019999999552965164,,,1.399999976158142,0.0200000,166A1582.CR3,C11,2,5752500,2471.0991982616256,293.9014411300474,0
2500,0.01666666753590107,,,1.399999976158142,0.0166667,166A1583.CR3,C00,0,5752500,2712.6058638852674,415.70403143733597,0
2500,0.01666666753590107,,,1.399999976158142,0.0166667,166A1583.CR3,C01,1,5752500,2982.2013830508477,621.4953029011716,0
2500,0.01666666753590107,,,1.399999976158142,0.0166667,166A1583.CR3,C10,3,5752500,2982.607715949587,621.173462367136,0
2500,0.01666666753590107,,,1.399999976158142,0.0166667,166A1583.CR3,C11,2,5752500,2466.6403155149933,292.3567530861682,0
3200,0.012500000186264515,,,1.399999976158142,0.0125000,166A1584.CR3,C00,0,5752500,2718.177658757062,422.13982212448445,0
3200,0.012500000186264515,,,1.399999976158142,0.0125000,166A1584.CR3,C01,1,5752500,2991.535697348979,631.1327432861609,0
3200,0.012500000186264515,,,1.399999976158142,0.0125000,166A1584.CR3,C10,3,5752500,2991.3413781833983,630.3453109565673,0
3200,0.012500000186264515,,,1.399999976158142,0.0125000,166A1584.CR3,C11,2,5752500,2468.176312733594,296.4424642858595,0
4000,0.009999999776482582,,,1.399999976158142,0.0100000,166A1585.CR3,C00,0,5752500,2718.548009039548,424.71745753202435,0
4000,0.009999999776482582,,,1.399999976158142,0.0100000,166A1585.CR3,C01,1,5752500,2990.8768691873097,632.258874257584,0
4000,0.009999999776482582,,,1.399999976158142,0.0100000,166A1585.CR3,C10,3,5752500,2991.053804259018,631.689840552018,0
4000,0.009999999776482582,,,1.399999976158142,0.0100000,166A1585.CR3,C11,2,5752500,2469.054660060843,299.8665044186527,0
5000,0.00800000037997961,,,1.399999976158142,0.00800000,166A1586.CR3,C00,0,5752500,2720.7630838765754,429.32649591240744,0
5000,0.00800000037997961,,,1.399999976158142,0.00800000,166A1586.CR3,C01,1,5752500,2992.588523424598,635.6958527096879,0
5000,0.00800000037997961,,,1.399999976158142,0.00800000,166A1586.CR3,C10,3,5752500,2993.0613999130815,635.17356825569,0
5000,0.00800000037997961,,,1.399999976158142,0.00800000,166A1586.CR3,C11,2,5752500,2470.049584180791,304.47307493376275,0
6400,0.0062500000931322575,,,1.399999976158142,0.00625000,166A1587.CR3,C00,0,5752500,2720.5996731855716,433.0301347875767,0
6400,0.0062500000931322575,,,1.399999976158142,0.00625000,166A1587.CR3,C01,1,5752500,2995.229862668405,642.621938393189,0
6400,0.0062500000931322575,,,1.399999976158142,0.00625000,166A1587.CR3,C10,3,5752500,2994.315166275532,640.580904515138,0
6400,0.0062500000931322575,,,1.399999976158142,0.00625000,166A1587.CR3,C11,2,5752500,2468.380819295958,307.5918227621654,0
8000,0.004999999888241291,,,1.399999976158142,0.00500000,166A1588.CR3,C00,0,5752500,2716.229322729248,435.5788581614691,0
