#Format: JPTC-SPECTRUM/1
#Tool: jptc-collect 0.1.4
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-20T17:07:05.477Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Leica M11 Monochrom
#ImageWidth: 9528
#ImageHeight: 6328
#ImagePixels: 60293184
#Firmware: 2.6.1
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 喵
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: GMCY
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 9536x6336
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#Axis: vertical
#TransformLength: 1950
#Window: hann
#Normalisation: |Y(k)|^2 / (N * sum(w^2)), averaged over lines
#OneSided: bins 1..N/2-1 are NOT doubled. To integrate a column back to a
#  variance, double every bin except DC and, for even N, Nyquist. Adding a
#  column up as it stands lands exactly a factor of two low, and nothing in
#  a plot of it would look wrong.
#Verification: with a rectangular window that doubled sum equals the
#  within-line variance exactly -- an identity that holds for any data, and
#  the check a normalisation slip cannot hide from. Under the Hann window
#  used here it comes out a few percent short, because the lines are not
#  stationary. The reference itself is the WithinRowVar / WithinColVar
#  columns of the scalar table: NOT StdA^2, which is the whole plane and so
#  also carries the line-to-line spread a periodogram cannot see.
#FreqUnit: cycles per channel-plane pixel (bin k -> k/1950); x2 for sensor pixels
#DiffPowerFactor: 2   (the difference spectrum is NOT halved here)
#LinesAveraged: 2950
#SignificantDigits: 6
#Note: single minus half the difference gives the fixed-pattern spectrum.
bin,freq,iso125_C00_single,iso125_C00_diff,iso125_C01_single,iso125_C01_diff,iso125_C10_single,iso125_C10_diff,iso125_C11_single,iso125_C11_diff,iso200_C00_single,iso200_C00_diff,iso200_C01_single,iso200_C01_diff,iso200_C10_single,iso200_C10_diff,iso200_C11_single,iso200_C11_diff,iso400_C00_single,iso400_C00_diff,iso400_C01_single,iso400_C01_diff,iso400_C10_single,iso400_C10_diff,iso400_C11_single,iso400_C11_diff,iso800_C00_single,iso800_C00_diff,iso800_C01_single,iso800_C01_diff,iso800_C10_single,iso800_C10_diff,iso800_C11_single,iso800_C11_diff,iso1600_C00_single,iso1600_C00_diff,iso1600_C01_single,iso1600_C01_diff,iso1600_C10_single,iso1600_C10_diff,iso1600_C11_single,iso1600_C11_diff,iso3200_C00_single,iso3200_C00_diff,iso3200_C01_single,iso3200_C01_diff,iso3200_C10_single,iso3200_C10_diff,iso3200_C11_single,iso3200_C11_diff,iso6400_C00_single,iso6400_C00_diff,iso6400_C01_single,iso6400_C01_diff,iso6400_C10_single,iso6400_C10_diff,iso6400_C11_single,iso6400_C11_diff,iso12500_C00_single,iso12500_C00_diff,iso12500_C01_single,iso12500_C01_diff,iso12500_C10_single,iso12500_C10_diff,iso12500_C11_single,iso12500_C11_diff,iso25000_C00_single,iso25000_C00_diff,iso25000_C01_single,iso25000_C01_diff,iso25000_C10_single,iso25000_C10_diff,iso25000_C11_single,iso25000_C11_diff
10,0.00512821,0.00103279,0.00208578,0.00105477,0.00212221,0.00108337,0.00208892,0.00107030,0.00212266,0.00215493,0.00444810,0.00216218,0.00440767,0.00221622,0.00447271,0.00222933,0.00433702,0.00169974,0.00327881,0.00162498,0.00329345,0.00169696,0.00330756,0.00176588,0.00324942,0.00565024,0.0111553,0.00566063,0.0112857,0.00593923,0.0112038,0.00582890,0.0114661,0.0195538,0.0388822,0.0199015,0.0389511,0.0212965,0.0400596,0.0210624,0.0405977,0.0702500,0.136393,0.0662958,0.131248,0.0708991,0.136515,0.0722669,0.138451,0.203637,0.400776,0.194742,0.378825,0.202020,0.396944,0.215811,0.415580,0.660545,1.30166,0.601708,1.15980,0.626745,1.20610,0.692078,1.34293,2.50258,4.87503,2.32391,4.42279,2.36517,4.54398,2.59854,5.04541
11,0.00564103,0.00106051,0.00202592,0.00103718,0.00214941,0.00108670,0.00218544,0.00104790,0.00210527,0.00213316,0.00432481,0.00218809,0.00452178,0.00215818,0.00439994,0.00221407,0.00435451,0.00169447,0.00327701,0.00168507,0.00322257,0.00170841,0.00331588,0.00170893,0.00330258,0.00564212,0.0113245,0.00564097,0.0111647,0.00582289,0.0114234,0.00603985,0.0116263,0.0192379,0.0380710,0.0195990,0.0378575,0.0212765,0.0397261,0.0211683,0.0405544,0.0707961,0.137355,0.0674048,0.135796,0.0712355,0.137683,0.0724740,0.141332,0.214979,0.416167,0.200073,0.383308,0.199799,0.384281,0.215206,0.418022,0.654855,1.28589,0.576087,1.12128,0.614530,1.17078,0.715992,1.36150,2.45171,4.85328,2.25951,4.37014,2.36358,4.52098,2.53593,4.99215
12,0.00615385,0.00108116,0.00210442,0.00102613,0.00203592,0.00104058,0.00214933,0.00105420,0.00210622,0.00212928,0.00425414,0.00219600,0.00441381,0.00213506,0.00426655,0.00218474,0.00433688,0.00167750,0.00339726,0.00168877,0.00319588,0.00169586,0.00323536,0.00170536,0.00339774,0.00569012,0.0114435,0.00578793,0.0114477,0.00584073,0.0117571,0.00599268,0.0116652,0.0197043,0.0380182,0.0195938,0.0382615,0.0207355,0.0403372,0.0207673,0.0400311,0.0702009,0.138525,0.0676780,0.130569,0.0674502,0.133888,0.0717847,0.137047,0.209339,0.403586,0.201749,0.380012,0.210021,0.401616,0.212728,0.416719,0.643646,1.25958,0.581240,1.11653,0.606251,1.19430,0.689497,1.35198,2.51115,4.85075,2.23260,4.42339,2.25872,4.49798,2.52265,4.98205
13,0.00666667,0.00101928,0.00206469,0.00101084,0.00201706,0.00100603,0.00203997,0.00103728,0.00208604,0.00214390,0.00426336,0.00219900,0.00437567,0.00218172,0.00427239,0.00217547,0.00439920,0.00167806,0.00333578,0.00164194,0.00318010,0.00170342,0.00317131,0.00175632,0.00338322,0.00569695,0.0114965,0.00572992,0.0112310,0.00584157,0.0115813,0.00595334,0.0115379,0.0194689,0.0385658,0.0198531,0.0389639,0.0204281,0.0396488,0.0206495,0.0409741,0.0692745,0.137366,0.0680100,0.133331,0.0643959,0.131799,0.0736250,0.139027,0.206599,0.405075,0.198923,0.386763,0.210105,0.398778,0.208910,0.404753,0.647131,1.27094,0.600468,1.17572,0.611491,1.22335,0.697042,1.37181,2.57425,5.00438,2.28146,4.42249,2.31933,4.55658,2.56412,4.90406
14,0.00717949,0.00103747,0.00205953,0.00101235,0.00206577,0.00108272,0.00208758,0.00106172,0.00208058,0.00220436,0.00436920,0.00214403,0.00424412,0.00217154,0.00427457,0.00222518,0.00439074,0.00170160,0.00329557,0.00166285,0.00331446,0.00168663,0.00323437,0.00176421,0.00343439,0.00570194,0.0113711,0.00564500,0.0110338,0.00581598,0.0113371,0.00587860,0.0114059,0.0196408,0.0391795,0.0207161,0.0397369,0.0201675,0.0391151,0.0210684,0.0414159,0.0706542,0.136657,0.0679598,0.135308,0.0654430,0.134658,0.0721293,0.137392,0.211703,0.416026,0.193519,0.386295,0.204874,0.402656,0.216665,0.416636,0.652120,1.27240,0.609267,1.18022,0.623821,1.23809,0.688085,1.36403,2.55696,5.05746,2.17598,4.29446,2.31131,4.46243,2.65637,5.04177
15,0.00769231,0.00104677,0.00206279,0.00101506,0.00202935,0.00108582,0.00213543,0.00106047,0.00206087,0.00215544,0.00429312,0.00212586,0.00417831,0.00218876,0.00442431,0.00224108,0.00434482,0.00161764,0.00317567,0.00164767,0.00335180,0.00165197,0.00321469,0.00171350,0.00338512,0.00568245,0.0110120,0.00557829,0.0109336,0.00580024,0.0114627,0.00586140,0.0113682,0.0205009,0.0403069,0.0204096,0.0397987,0.0208422,0.0391075,0.0211116,0.0410686,0.0689232,0.132695,0.0687470,0.131644,0.0677497,0.134435,0.0724483,0.135104,0.210827,0.413057,0.192563,0.387039,0.205972,0.404229,0.228836,0.438583,0.654906,1.25733,0.608269,1.19106,0.640861,1.24708,0.686511,1.32981,2.47218,5.03027,2.25144,4.32444,2.21398,4.41289,2.67618,5.11706
16,0.00820513,0.00105133,0.00210661,0.00103619,0.00208993,0.00105517,0.00210925,0.00104370,0.00214572,0.00216761,0.00426523,0.00214545,0.00423154,0.00225536,0.00439533,0.00231234,0.00462061,0.00158741,0.00313677,0.00162687,0.00325598,0.00172190,0.00327051,0.00171543,0.00333046,0.00564304,0.0111801,0.00570550,0.0110333,0.00582088,0.0113439,0.00574919,0.0112243,0.0203872,0.0395999,0.0203692,0.0386415,0.0206779,0.0389081,0.0210898,0.0408084,0.0688038,0.135545,0.0681391,0.131488,0.0703620,0.137936,0.0717274,0.138545,0.205598,0.401802,0.195879,0.374154,0.206511,0.399898,0.225304,0.429779,0.668441,1.25051,0.586259,1.20942,0.636164,1.22670,0.684160,1.26881,2.45216,4.97002,2.33469,4.42557,2.29655,4.52404,2.66048,5.13413
17,0.00871795,0.00104111,0.00209423,0.00102669,0.00204743,0.00103046,0.00206985,0.00106167,0.00214036,0.00213759,0.00427090,0.00216290,0.00433352,0.00220856,0.00429581,0.00224820,0.00450861,0.00160433,0.00319948,0.00166358,0.00321032,0.00177793,0.00328220,0.00175061,0.00334661,0.00574345,0.0117008,0.00563177,0.0109334,0.00576784,0.0109945,0.00568425,0.0113505,0.0201099,0.0386489,0.0198722,0.0388749,0.0207167,0.0385658,0.0212731,0.0405885,0.0684652,0.135012,0.0669594,0.135929,0.0694901,0.137252,0.0725248,0.142542,0.205693,0.405914,0.196690,0.377025,0.206433,0.390050,0.218491,0.426168,0.652112,1.22771,0.595558,1.18457,0.635347,1.21435,0.692251,1.30437,2.42867,4.81946,2.37879,4.49378,2.39226,4.66286,2.60117,5.10513
18,0.00923077,0.00103697,0.00204307,0.00101487,0.00204416,0.00103678,0.00203230,0.00104402,0.00208232,0.00210624,0.00424358,0.00218028,0.00433010,0.00217673,0.00433914,0.00232107,0.00436409,0.00166520,0.00335084,0.00165414,0.00330401,0.00172104,0.00339074,0.00173328,0.00332836,0.00585649,0.0116124,0.00552526,0.0109979,0.00584135,0.0112056,0.00588924,0.0118044,0.0207264,0.0392532,0.0197551,0.0378895,0.0206161,0.0390058,0.0211606,0.0399973,0.0690935,0.136959,0.0681487,0.132006,0.0688947,0.132366,0.0719019,0.140117,0.208519,0.408306,0.199008,0.384578,0.211782,0.413072,0.218084,0.426571,0.647810,1.23242,0.584326,1.14152,0.633893,1.23472,0.673414,1.32642,2.44060,4.81379,2.28565,4.42865,2.32781,4.48335,2.55152,5.06911
19,0.00974359,0.00102546,0.00206424,0.00101966,0.00205321,0.00107183,0.00210383,0.00102684,0.00203540,0.00218742,0.00430771,0.00219089,0.00438185,0.00217006,0.00419147,0.00227727,0.00434090,0.00166231,0.00328178,0.00166748,0.00320557,0.00170940,0.00347918,0.00169300,0.00328778,0.00571983,0.0112878,0.00558266,0.0110844,0.00577129,0.0109531,0.00600723,0.0119084,0.0203276,0.0387977,0.0196682,0.0376158,0.0207132,0.0393557,0.0204103,0.0396978,0.0688618,0.135935,0.0678475,0.125852,0.0704911,0.134644,0.0721429,0.139126,0.208517,0.402006,0.204382,0.389163,0.209714,0.412637,0.219780,0.433026,0.649719,1.24407,0.588369,1.15874,0.618234,1.19641,0.672589,1.31815,2.44516,4.87266,2.32117,4.48289,2.33383,4.39355,2.60341,5.19158
