#Format: JPTC-SPECTRUM/1
#Tool: jptc-collect 0.1.4
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-20T17:07:05.477Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Leica M11 Monochrom
#ImageWidth: 9528
#ImageHeight: 6328
#ImagePixels: 60293184
#Firmware: 2.6.1
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 喵
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: GMCY
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 9536x6336
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#Axis: horizontal
#TransformLength: 2950
#Window: hann
#Normalisation: |Y(k)|^2 / (N * sum(w^2)), averaged over lines
#OneSided: bins 1..N/2-1 are NOT doubled. To integrate a column back to a
#  variance, double every bin except DC and, for even N, Nyquist. Adding a
#  column up as it stands lands exactly a factor of two low, and nothing in
#  a plot of it would look wrong.
#Verification: with a rectangular window that doubled sum equals the
#  within-line variance exactly -- an identity that holds for any data, and
#  the check a normalisation slip cannot hide from. Under the Hann window
#  used here it comes out a few percent short, because the lines are not
#  stationary. The reference itself is the WithinRowVar / WithinColVar
#  columns of the scalar table: NOT StdA^2, which is the whole plane and so
#  also carries the line-to-line spread a periodogram cannot see.
#FreqUnit: cycles per channel-plane pixel (bin k -> k/2950); x2 for sensor pixels
#DiffPowerFactor: 2   (the difference spectrum is NOT halved here)
#LinesAveraged: 1950
#SignificantDigits: 6
#Note: single minus half the difference gives the fixed-pattern spectrum.
bin,freq,iso125_C00_single,iso125_C00_diff,iso125_C01_single,iso125_C01_diff,iso125_C10_single,iso125_C10_diff,iso125_C11_single,iso125_C11_diff,iso200_C00_single,iso200_C00_diff,iso200_C01_single,iso200_C01_diff,iso200_C10_single,iso200_C10_diff,iso200_C11_single,iso200_C11_diff,iso400_C00_single,iso400_C00_diff,iso400_C01_single,iso400_C01_diff,iso400_C10_single,iso400_C10_diff,iso400_C11_single,iso400_C11_diff,iso800_C00_single,iso800_C00_diff,iso800_C01_single,iso800_C01_diff,iso800_C10_single,iso800_C10_diff,iso800_C11_single,iso800_C11_diff,iso1600_C00_single,iso1600_C00_diff,iso1600_C01_single,iso1600_C01_diff,iso1600_C10_single,iso1600_C10_diff,iso1600_C11_single,iso1600_C11_diff,iso3200_C00_single,iso3200_C00_diff,iso3200_C01_single,iso3200_C01_diff,iso3200_C10_single,iso3200_C10_diff,iso3200_C11_single,iso3200_C11_diff,iso6400_C00_single,iso6400_C00_diff,iso6400_C01_single,iso6400_C01_diff,iso6400_C10_single,iso6400_C10_diff,iso6400_C11_single,iso6400_C11_diff,iso12500_C00_single,iso12500_C00_diff,iso12500_C01_single,iso12500_C01_diff,iso12500_C10_single,iso12500_C10_diff,iso12500_C11_single,iso12500_C11_diff,iso25000_C00_single,iso25000_C00_diff,iso25000_C01_single,iso25000_C01_diff,iso25000_C10_single,iso25000_C10_diff,iso25000_C11_single,iso25000_C11_diff
10,0.00338983,0.000673818,0.00135565,0.000669271,0.00136171,0.000690642,0.00134876,0.000679705,0.00137801,0.00142272,0.00284471,0.00140750,0.00292853,0.00141984,0.00285104,0.00142874,0.00291226,0.00109487,0.00218945,0.00110343,0.00214209,0.00113273,0.00226148,0.00115739,0.00226919,0.00367943,0.00733884,0.00377008,0.00740739,0.00387177,0.00764783,0.00392008,0.00748962,0.0141385,0.0275928,0.0128449,0.0251885,0.0134463,0.0256543,0.0135560,0.0264284,0.0451706,0.0895359,0.0458899,0.0865683,0.0459049,0.0888466,0.0476127,0.0928021,0.141795,0.267800,0.128321,0.252166,0.136090,0.269033,0.142101,0.276533,0.440731,0.859265,0.388596,0.750200,0.404475,0.771173,0.478301,0.912723,1.67621,3.27612,1.49917,2.88083,1.53154,2.93572,1.74419,3.28396
11,0.00372881,0.000686093,0.00134845,0.000673898,0.00136303,0.000689273,0.00133409,0.000693516,0.00138648,0.00142051,0.00291868,0.00144262,0.00284707,0.00146931,0.00294473,0.00145885,0.00279754,0.00108827,0.00228560,0.00109525,0.00214397,0.00110361,0.00217328,0.00115152,0.00223966,0.00370981,0.00708204,0.00379402,0.00732800,0.00381071,0.00755278,0.00384257,0.00754205,0.0139687,0.0267327,0.0131186,0.0254852,0.0133783,0.0255997,0.0135585,0.0267983,0.0453320,0.0890294,0.0445475,0.0859382,0.0475132,0.0909604,0.0459394,0.0905571,0.135397,0.263843,0.129546,0.257200,0.136604,0.266422,0.143951,0.278340,0.435043,0.864907,0.406681,0.773383,0.415897,0.783709,0.474134,0.894887,1.70686,3.26939,1.57328,2.97714,1.53436,2.96596,1.72204,3.17457
12,0.00406780,0.000687116,0.00131963,0.000673400,0.00137461,0.000667274,0.00135575,0.000690294,0.00138301,0.00140722,0.00288716,0.00141979,0.00277244,0.00147346,0.00294675,0.00145266,0.00286696,0.00107814,0.00218162,0.00110546,0.00215467,0.00114194,0.00215902,0.00112652,0.00224958,0.00373950,0.00722714,0.00363436,0.00704680,0.00379592,0.00764865,0.00367514,0.00739784,0.0134333,0.0260856,0.0128847,0.0254165,0.0140558,0.0255875,0.0134936,0.0264501,0.0451179,0.0905496,0.0426444,0.0857269,0.0474194,0.0935191,0.0472490,0.0899249,0.137124,0.260909,0.127947,0.256188,0.137976,0.258911,0.144939,0.276550,0.434295,0.867668,0.408591,0.764472,0.415100,0.784238,0.450656,0.871678,1.71298,3.29239,1.54848,2.84824,1.55380,2.99878,1.72644,3.23602
13,0.00440678,0.000684084,0.00135075,0.000662834,0.00134425,0.000676805,0.00134655,0.000698680,0.00141283,0.00138679,0.00285111,0.00140054,0.00285494,0.00143945,0.00282883,0.00147482,0.00289069,0.00106472,0.00212759,0.00106434,0.00212117,0.00114728,0.00213734,0.00116752,0.00227501,0.00372902,0.00733479,0.00369816,0.00720790,0.00397422,0.00764042,0.00387384,0.00768408,0.0132213,0.0250559,0.0127917,0.0259318,0.0140314,0.0260175,0.0134089,0.0268391,0.0443864,0.0900073,0.0440907,0.0874038,0.0474276,0.0905969,0.0481650,0.0905137,0.140791,0.270614,0.130892,0.254701,0.138517,0.263461,0.145419,0.279050,0.442345,0.868498,0.403394,0.754881,0.416046,0.792745,0.462563,0.875687,1.72085,3.21295,1.48661,2.78047,1.51517,3.05379,1.75538,3.23382
14,0.00474576,0.000671639,0.00135196,0.000666133,0.00131474,0.000653514,0.00130019,0.000695245,0.00137219,0.00143023,0.00281898,0.00141414,0.00292075,0.00147963,0.00286374,0.00144025,0.00285514,0.00108106,0.00211517,0.00102657,0.00210539,0.00110917,0.00217032,0.00116555,0.00220532,0.00375893,0.00724501,0.00371184,0.00727029,0.00380927,0.00737882,0.00403290,0.00772156,0.0131043,0.0246745,0.0126871,0.0248148,0.0131452,0.0260879,0.0137619,0.0265575,0.0450914,0.0910376,0.0449939,0.0896141,0.0467113,0.0873384,0.0477095,0.0912566,0.145822,0.280735,0.131007,0.258343,0.136556,0.272673,0.141982,0.277694,0.446240,0.892094,0.398738,0.744811,0.404256,0.788518,0.472070,0.891668,1.65139,3.13362,1.48896,2.86306,1.59828,3.12651,1.73267,3.32253
15,0.00508475,0.000701673,0.00135823,0.000660879,0.00130466,0.000670751,0.00133787,0.000678593,0.00139785,0.00146607,0.00289555,0.00142659,0.00290629,0.00140584,0.00287078,0.00140660,0.00288463,0.00110197,0.00216450,0.00107814,0.00212837,0.00109351,0.00213715,0.00113796,0.00220548,0.00372188,0.00729807,0.00365211,0.00710380,0.00385012,0.00744459,0.00408237,0.00769221,0.0129629,0.0253790,0.0131179,0.0256073,0.0136863,0.0259995,0.0138837,0.0265493,0.0440205,0.0854653,0.0451955,0.0903986,0.0468156,0.0891662,0.0462697,0.0903980,0.142888,0.273170,0.132623,0.262937,0.136138,0.268258,0.144202,0.268280,0.444059,0.856071,0.401022,0.760532,0.401661,0.787214,0.453238,0.883710,1.64892,3.24217,1.49044,2.89435,1.58240,3.06385,1.69650,3.27241
16,0.00542373,0.000682949,0.00137833,0.000652664,0.00130162,0.000703873,0.00137728,0.000647140,0.00141366,0.00146666,0.00294473,0.00140565,0.00281179,0.00137838,0.00274701,0.00144260,0.00284769,0.00108698,0.00215557,0.00109007,0.00206401,0.00115801,0.00224546,0.00110351,0.00218972,0.00386942,0.00728716,0.00363897,0.00716364,0.00396079,0.00763758,0.00402616,0.00758927,0.0130440,0.0261763,0.0129905,0.0255633,0.0136862,0.0262937,0.0137572,0.0262306,0.0453489,0.0859856,0.0437268,0.0858944,0.0450515,0.0896587,0.0459566,0.0898315,0.144872,0.277061,0.129328,0.254226,0.137928,0.266816,0.148804,0.279707,0.437989,0.854645,0.402486,0.800385,0.408334,0.817992,0.471400,0.895723,1.63282,3.19543,1.44205,2.85085,1.59037,3.03221,1.75565,3.29770
17,0.00576271,0.000659058,0.00132647,0.000658584,0.00135252,0.000715545,0.00137349,0.000654743,0.00133691,0.00142988,0.00297222,0.00143825,0.00284045,0.00144044,0.00280548,0.00145016,0.00282847,0.00111829,0.00222557,0.00107464,0.00202241,0.00111238,0.00223928,0.00110956,0.00219085,0.00397910,0.00749747,0.00349243,0.00724046,0.00374224,0.00752507,0.00395764,0.00751203,0.0133487,0.0260964,0.0127861,0.0251417,0.0136547,0.0259388,0.0136446,0.0265801,0.0455293,0.0898559,0.0442297,0.0877029,0.0434558,0.0864741,0.0462983,0.0911588,0.139254,0.267371,0.123889,0.252097,0.140939,0.271902,0.148213,0.289309,0.438694,0.848492,0.387797,0.766105,0.414810,0.831826,0.463097,0.880034,1.61707,3.17674,1.48649,2.89046,1.58239,3.02457,1.70842,3.31993
18,0.00610169,0.000672119,0.00134437,0.000669095,0.00137412,0.000704190,0.00141836,0.000679442,0.00134141,0.00140469,0.00292136,0.00143744,0.00286425,0.00144347,0.00283961,0.00143726,0.00278924,0.00115052,0.00224905,0.00103109,0.00202395,0.00107518,0.00220760,0.00113062,0.00219578,0.00385718,0.00730285,0.00354799,0.00729579,0.00380337,0.00746343,0.00375305,0.00730576,0.0130969,0.0257241,0.0129834,0.0246439,0.0136093,0.0268251,0.0138938,0.0268475,0.0444570,0.0873207,0.0457090,0.0874443,0.0445619,0.0865114,0.0481855,0.0962446,0.133233,0.260229,0.127230,0.252076,0.139957,0.266633,0.144044,0.276101,0.440149,0.848543,0.387373,0.748603,0.415282,0.819486,0.454923,0.894360,1.57474,3.11536,1.54647,2.92255,1.59758,3.00900,1.68273,3.32281
19,0.00644068,0.000674900,0.00139381,0.000693216,0.00138277,0.000701289,0.00141222,0.000687445,0.00137797,0.00142068,0.00291155,0.00140766,0.00287336,0.00147092,0.00280773,0.00146392,0.00280620,0.00111602,0.00214736,0.00104334,0.00209593,0.00110908,0.00220047,0.00113948,0.00225793,0.00374058,0.00713707,0.00363060,0.00725545,0.00382776,0.00738692,0.00384892,0.00774217,0.0128876,0.0259122,0.0126934,0.0240487,0.0142650,0.0276551,0.0140228,0.0268357,0.0447301,0.0887897,0.0455603,0.0889188,0.0456373,0.0880235,0.0485950,0.0940962,0.132358,0.255117,0.131236,0.258317,0.138361,0.260796,0.136638,0.278412,0.436150,0.869795,0.389544,0.773888,0.422275,0.801222,0.442708,0.849611,1.59628,3.08463,1.54823,2.97190,1.57284,3.03286,1.66368,3.31767
