#Format: JPTC-ISOGAIN/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-12T08:41:26.683Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Panasonic DC-S5M2
#Firmware: 
#Lens: none-bodycap
#ShutterType: mech
#Compression: lossless
#BitDepth: 14
#LongExposureNR: off (declared)
#AmbientC: 
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 6008x4008
#SensorBlackTag: 512
#SensorMaximum: 16319
#Ladder: auto-shutter
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
# ShutterSec is the NOMINAL time from the file. A mechanical shutter
# departs from it systematically and unreadably, which is what the
# paired-shutter ladder exists to sidestep.
#
# g1/g2 = (t1/t2) * (Mean2 - BL2) / (Mean1 - BL1), with BL from the dark set.
ISO,ShutterSec,Aperture,ShutterGroup,File,Channel,ColorIndex,N,Mean,Std,ClipFrac
1000,0.06666667014360428,11,0.0666667,P2642128.RW2,C10,3,5752500,2416.8106101694916,291.6894006915623,0
1000,0.06666667014360428,11,0.0666667,P2642128.RW2,C11,2,5752500,1394.605629030856,134.42015357183334,0
1250,0.05000000074505806,11,0.0500000,P2642129.RW2,C00,0,5752500,1627.8283685354195,184.1097016669217,0
1250,0.05000000074505806,11,0.0500000,P2642129.RW2,C01,1,5752500,2428.471480747501,296.0411320860707,0
1250,0.05000000074505806,11,0.0500000,P2642129.RW2,C10,3,5752500,2429.01337053455,294.9234226954146,0
1250,0.05000000074505806,11,0.0500000,P2642129.RW2,C11,2,5752500,1400.9946520643198,136.70426911976585,0
1600,0.03999999910593033,11,0.0400000,P2642130.RW2,C00,0,5752500,1628.6419097783573,185.98996491189473,0
1600,0.03999999910593033,11,0.0400000,P2642130.RW2,C01,1,5752500,2429.486860321599,298.07043755671106,0
1600,0.03999999910593033,11,0.0400000,P2642130.RW2,C10,3,5752500,2430.0586878748372,296.9437089488163,0
1600,0.03999999910593033,11,0.0400000,P2642130.RW2,C11,2,5752500,1401.5692283355063,138.55141359374804,0
2000,0.03333333507180214,11,0.0333333,P2642131.RW2,C00,0,5752500,1629.6986345067362,188.36953092810757,0
2000,0.03333333507180214,11,0.0333333,P2642131.RW2,C01,1,5752500,2431.3901281182093,300.7329745997768,0
2000,0.03333333507180214,11,0.0333333,P2642131.RW2,C10,3,5752500,2432.332965145589,299.53891802292924,0
2000,0.03333333507180214,11,0.0333333,P2642131.RW2,C11,2,5752500,1402.609133420252,140.90255760988217,0
2500,0.02500000037252903,11,0.0250000,P2642132.RW2,C00,0,5752500,1626.0849175141243,190.5338556055261,0
2500,0.02500000037252903,11,0.0250000,P2642132.RW2,C01,1,5752500,2424.7428514558887,302.7701060967295,0
2500,0.02500000037252903,11,0.0250000,P2642132.RW2,C10,3,5752500,2425.6574459800086,301.6650716588832,0
2500,0.02500000037252903,11,0.0250000,P2642132.RW2,C11,2,5752500,1399.7330345067362,143.21650263875233,0
3200,0.019999999552965164,11,0.0200000,P2642133.RW2,C00,0,5752500,1629.623493089961,194.44724359614372,0
3200,0.019999999552965164,11,0.0200000,P2642133.RW2,C01,1,5752500,2431.6271874837025,307.4182125167688,0
3200,0.019999999552965164,11,0.0200000,P2642133.RW2,C10,3,5752500,2432.771641025641,306.2312712959967,0
3200,0.019999999552965164,11,0.0200000,P2642133.RW2,C11,2,5752500,1402.960427466319,146.95532277196043,0
4000,0.01666666753590107,11,0.0166667,P2642134.RW2,C00,0,5752500,1627.4712909169925,198.40770290616376,0
4000,0.01666666753590107,11,0.0166667,P2642134.RW2,C01,1,5752500,2430.507209734898,311.71400168199517,0
4000,0.01666666753590107,11,0.0166667,P2642134.RW2,C10,3,5752500,2431.543862668405,310.58211549966325,0
4000,0.01666666753590107,11,0.0166667,P2642134.RW2,C11,2,5752500,1401.489899869622,150.7973460538099,0
5000,0.012500000186264515,11,0.0125000,P2642136.RW2,C00,0,5752500,1612.1665390699695,200.7761400937129,0
5000,0.012500000186264515,11,0.0125000,P2642136.RW2,C01,1,5752500,2401.7584,311.8389410175823,0
5000,0.012500000186264515,11,0.0125000,P2642136.RW2,C10,3,5752500,2402.9727129074317,310.8209231902207,0
5000,0.012500000186264515,11,0.0125000,P2642136.RW2,C11,2,5752500,1387.7445868752716,153.28493061180177,0
6400,0.009999999776482582,11,0.0100000,P2642137.RW2,C00,0,5752500,1602.9486416340721,205.86666733215336,0
6400,0.009999999776482582,11,0.0100000,P2642137.RW2,C01,1,5752500,2389.092621121252,317.11094784940644,0
6400,0.009999999776482582,11,0.0100000,P2642137.RW2,C10,3,5752500,2390.6364903954805,315.87082486135284,0
6400,0.009999999776482582,11,0.0100000,P2642137.RW2,C11,2,5752500,1380.8804566710126,158.28361820183613,0
8000,0.00800000037997961,11,0.00800000,P2642138.RW2,C00,0,5752500,1604.0759855714907,212.78718668132566,0
8000,0.00800000037997961,11,0.00800000,P2642138.RW2,C01,1,5752500,2390.8038538026944,323.8735056498073,0
8000,0.00800000037997961,11,0.00800000,P2642138.RW2,C10,3,5752500,2392.4510112125163,322.65173415627055,0
8000,0.00800000037997961,11,0.00800000,P2642138.RW2,C11,2,5752500,1380.4014548457192,164.9688255909191,0
10000,0.0062500000931322575,11,0.00625000,P2642139.RW2,C00,0,5752500,1597.6790875271622,221.40756051051912,0
10000,0.0062500000931322575,11,0.00625000,P2642139.RW2,C01,1,5752500,2382.7811654063453,333.22734401148034,0
10000,0.0062500000931322575,11,0.00625000,P2642139.RW2,C10,3,5752500,2384.6297548891785,332.02864195667263,0
10000,0.0062500000931322575,11,0.00625000,P2642139.RW2,C11,2,5752500,1375.0731275097783,172.9826349579353,0
12800,0.004999999888241291,11,0.00500000,P2642140.RW2,C00,0,5752500,1597.9402842242503,232.484631935171,0
12800,0.004999999888241291,11,0.00500000,P2642140.RW2,C01,1,5752500,2381.9897178617994,345.52220711830216,0
12800,0.004999999888241291,11,0.00500000,P2642140.RW2,C10,3,5752500,2383.8291681877445,344.06798925323574,0
12800,0.004999999888241291,11,0.00500000,P2642140.RW2,C11,2,5752500,1375.4239396784008,182.85368165006605,0
16000,0.004000000189989805,11,0.00400000,P2642141.RW2,C00,0,5752500,1598.312777053455,244.42044307398717,0
16000,0.004000000189989805,11,0.00400000,P2642141.RW2,C01,1,5752500,2384.938346631899,360.39391459862213,0
16000,0.004000000189989805,11,0.00400000,P2642141.RW2,C10,3,5752500,2387.210564450239,359.17746555251097,0
16000,0.004000000189989805,11,0.00400000,P2642141.RW2,C11,2,5752500,1376.562643024772,192.41484370225928,0
20000,0.0031250000465661287,11,0.00312500,P2642142.RW2,C00,0,5752500,1589.7195694046068,253.44524824681835,0
20000,0.0031250000465661287,11,0.00312500,P2642142.RW2,C01,1,5752500,2372.0908299000434,372.8432981699965,0
20000,0.0031250000465661287,11,0.00312500,P2642142.RW2,C10,3,5752500,2374.396538548457,371.59268065218885,0
20000,0.0031250000465661287,11,0.00312500,P2642142.RW2,C11,2,5752500,1369.3360580617123,199.88611787963268,0
25600,0.0024999999441206455,11,0.00250000,P2642143.RW2,C00,0,5752500,1583.2602605823554,263.28464722292165,0
25600,0.0024999999441206455,11,0.00250000,P2642143.RW2,C01,1,5752500,2360.281213211647,381.1504168894056,0
25600,0.0024999999441206455,11,0.00250000,P2642143.RW2,C10,3,5752500,2361.8323196870924,379.83108183605515,0
25600,0.0024999999441206455,11,0.00250000,P2642143.RW2,C11,2,5752500,1364.7589548891785,209.1086969911822,0
32000,0.0020000000949949026,11,0.00200000,P2642144.RW2,C00,0,5752500,1579.3070605823555,281.8888276108983,0
32000,0.0020000000949949026,11,0.00200000,P2642144.RW2,C01,1,5752500,2355.0742786614514,401.3060921721588,0
32000,0.0020000000949949026,11,0.00200000,P2642144.RW2,C10,3,5752500,2357.740284050413,400.0873665657867,0
32000,0.0020000000949949026,11,0.00200000,P2642144.RW2,C11,2,5752500,1360.800954715341,226.5184366055332,0
40000,0.0015625000232830644,11,0.00156250,P2642145.RW2,C00,0,5752500,1581.21682329422,304.861254426567,0
40000,0.0015625000232830644,11,0.00156250,P2642145.RW2,C01,1,5752500,2357.2251358539766,426.61036154621985,0
40000,0.0015625000232830644,11,0.00156250,P2642145.RW2,C10,3,5752500,2359.223527335941,425.32155788046373,0
40000,0.0015625000232830644,11,0.00156250,P2642145.RW2,C11,2,5752500,1362.4796431116906,247.06417363275443,0
51200,0.0012499999720603228,11,0.00125000,P2642146.RW2,C00,0,5752500,1568.9596370273794,329.8422881593011,0
51200,0.0012499999720603228,11,0.00125000,P2642146.RW2,C01,1,5752500,2338.2213614950024,452.8379445969859,0
51200,0.0012499999720603228,11,0.00125000,P2642146.RW2,C10,3,5752500,2341.017226770969,451.71184097268883,0
51200,0.0012499999720603228,11,0.00125000,P2642146.RW2,C11,2,5752500,1354.4124219035202,269.9471854079024,0
