#Format: JPTC/2
#Tool: jptc-collect 0.1.7
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-21T16:30:51.725Z
#
# Unless a column and its metadata explicitly identify a correction, every
# value below is as measured. No black level has been subtracted. The black
# level belongs to the dark set, which is why that one is shot first.
#
#Camera: Panasonic DC-S1RM2
#ImageWidth: 8144
#ImageHeight: 5424
#ImagePixels: 44173056
#Firmware: 12
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8152x5432
#SensorBlackTag: 512
#SensorMaximum: 16319
#Pairing: Differential
#CropMosaic: 512x512
#PlanePerChannel: 256x256
#ISO: 3200
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
#LowFrequencyCorrection: enabled
#LowFrequencyMethod: shared-pair-mean-robust-polynomial
#LowFrequencyDegree: 3
#LowFrequencyTileGrid: 8x8
#LowFrequencyMinimumTiles: 32
#ChannelOrder: R,G1,G2,B by colour. G1 shares its row with red.
#ChannelMapping: colour
# Levels are raw. No black level has been subtracted, and none is quoted:
# the black level is a measurement of its own and lives in the dark set,
# which travels in the same submission. Joining the two is an analysis
# step, and doing it here would make one entry depend on another having
# been processed first -- a rule the person shooting should not have to know.
# StdDiff is the standard deviation of A-B. Not halved, not corrected.
# StdDiffClipped is the same after the sigma clip; the unclipped value is
# kept beside it so the clip can be judged rather than trusted.
# When low-frequency correction is enabled, Std, StdB and StdMasked use a
# shared robust surface estimated from (A+B)/2. The same zero-mean surface
# is subtracted from A and B. Means and all A-B columns are never corrected.
# StdRaw, StdBRaw and StdMaskedRaw preserve the original spatial statistics.
# LowFreqApplied and LowFreqReason state the decision for every channel.
#
# ShutterSec uses the standard ExposureTime in seconds when present, then
# ShutterSpeedValue converted from APEX, then LibRaw as a fallback. For
# example, Leica may store both 1/80 and an APEX value that converts to
# 1/80.56. These are camera records, not a measurement of shutter travel.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field, so the selected value remains auditable.
# The two frames of a pair are grouped on an identical ShutterSec, so the
# fractions below are the ones frame A holds.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,Filename,FileB,N,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std,R_MeanB,G1_MeanB,G2_MeanB,B_MeanB,R_StdB,G1_StdB,G2_StdB,B_StdB,R_StdMasked,G1_StdMasked,G2_StdMasked,B_StdMasked,R_StdRaw,G1_StdRaw,G2_StdRaw,B_StdRaw,R_StdBRaw,G1_StdBRaw,G2_StdBRaw,B_StdBRaw,R_StdMaskedRaw,G1_StdMaskedRaw,G2_StdMaskedRaw,B_StdMaskedRaw,R_StdDiff,G1_StdDiff,G2_StdDiff,B_StdDiff,R_StdDiffClipped,G1_StdDiffClipped,G2_StdDiffClipped,B_StdDiffClipped,R_DiffOffset,G1_DiffOffset,G2_DiffOffset,B_DiffOffset,R_Rejected,G1_Rejected,G2_Rejected,B_Rejected,R_ClipFrac,G1_ClipFrac,G2_ClipFrac,B_ClipFrac,R_LowFreqApplied,G1_LowFreqApplied,G2_LowFreqApplied,B_LowFreqApplied,R_LowFreqRms,G1_LowFreqRms,G2_LowFreqRms,B_LowFreqRms,R_LowFreqPeakToPeak,G1_LowFreqPeakToPeak,G2_LowFreqPeakToPeak,B_LowFreqPeakToPeak,R_LowFreqTiles,G1_LowFreqTiles,G2_LowFreqTiles,B_LowFreqTiles,R_LowFreqTileResidualRms,G1_LowFreqTileResidualRms,G2_LowFreqTileResidualRms,B_LowFreqTileResidualRms,R_LowFreqReason,G1_LowFreqReason,G2_LowFreqReason,B_LowFreqReason
3200,0.3125,10/32,,0,P1019699.RW2,P1019700.RW2,65536,16383,16383,16383,16383,0,0,0,0,16383,16383,16383,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,insufficient-tiles,insufficient-tiles,insufficient-tiles,insufficient-tiles
3200,0.2,10/50,,0,P1019701.RW2,P1019702.RW2,65536,14063.9365234375,16383,16383,16240.355438232422,350.8628863304693,0,0,209.22299573150764,14062.221435546875,16383,16383,16239.774230957031,350.68829172112345,0,0,209.54023973976922,350.35374879992867,0,0,204.42637047900965,351.4526203044664,0,0,209.22299573150764,351.2922398435448,0,0,209.54023973976922,350.9436820746857,0,0,204.42637047900965,489.23818046494307,0,0,289.9831324449254,487.7609704464251,0,0,281.08079004417965,1.715087890625,0,0,0.581207275390625,31,0,0,293,0,1,1,0.798126220703125,1,0,0,0,22.05549297069201,0,0,0,141.59312833865079,0,0,0,64,0,0,0,11.83833617895787,,,,applied,insufficient-tiles,insufficient-tiles,insufficient-tiles
3200,0.125,10/80,,0,P1019703.RW2,P1019704.RW2,65536,9027.355453491211,15200.325408935547,15280.284255981445,10489.878860473633,273.78697845482174,366.37212123806347,369.5867914045576,285.4880705606706,9027.27474975586,15196.344009399414,15275.86003112793,10485.99252319336,274.676268718307,363.69942487911476,372.14718251114425,284.67552997490634,273.26691979021734,365.7303388542475,369.14784768106216,284.8716565004036,274.19202766598846,367.186049156191,370.2370360674734,285.9580364592772,274.95269062828487,364.5749978820893,372.7902666116267,285.2734204174713,273.672064048583,366.541257135797,369.80309467654945,285.3411125605174,384.0679819084526,506.65122561088907,509.82494298606366,398.19600555978025,382.6097025041881,504.8824270827146,508.4775408778289,396.2152575523184,0.0807037353515625,3.9813995361328125,4.424224853515625,3.8863372802734375,38,36,25,50,0,0.0026397705078125,0.0065155029296875,0,1,1,1,1,13.499187997395047,24.799686228298132,23.136982868784525,18.78174375575773,69.05799568687871,111.35506614156293,139.41531218967248,91.15347948423187,64,64,64,64,9.298832789596485,13.09842084954311,13.508107219590208,11.31095748661554,applied,applied,applied,applied
3200,0.0769231,10/130,,0,P1019705.RW2,P1019706.RW2,65536,5858.322418212891,9720.537551879883,9769.362106323242,6778.478378295898,216.94264374348398,287.7521940642424,288.79273921301547,225.43018632643867,5859.283493041992,9719.26235961914,9769.444213867188,6777.412322998047,216.77738732060124,286.52628758849664,290.5863718630289,222.6982163790576,216.55651542374406,287.1922589010445,288.38461649521827,224.87997198324916,217.10251213468513,288.0980904771556,289.0574195089342,225.60171750455072,216.95047731070215,286.92535145049396,290.95054553010544,222.94980486881383,216.71563204685603,287.54077007786725,288.6545744756691,225.04797555415405,304.99071938949635,400.9226400829373,400.991252150578,313.37909537875385,303.93586799818377,399.5062690125859,399.6869636176255,311.8565478900507,-0.9610748291015625,1.2751922607421875,-0.0821075439453125,1.0660552978515625,35,36,32,48,0,0,0,0,1,1,1,1,8.007702578093442,16.636050686718583,14.504744446005171,9.915668556142917,50.63202506482867,102.71499288616178,95.15985689615991,58.43347907388488,64,64,64,64,6.3068388552896035,8.853181743190195,8.813328407092605,5.573020684697832,applied,applied,applied,applied
3200,0.05,10/200,,0,P1019707.RW2,P1019708.RW2,65536,3872.4425201416016,6293.18603515625,6323.139129638672,4449.880432128906,171.7674839739235,225.88160804194524,227.11094390387154,177.18628892302937,3870.0113677978516,6290.961410522461,6324.5777587890625,4446.494186401367,171.70747903393482,226.69272292076244,227.01455277312385,177.22108889450982,171.50013358735526,225.67452057537986,226.7907108724372,176.80504354345936,171.87659192433773,226.1252010367034,227.2317288607029,177.29308007146525,171.79298306612606,226.86436553826957,227.21456650389902,177.29321531306374,171.61111378949235,225.9200096546954,226.91396563031546,176.9131084777278,241.85748938596674,317.66302587105054,316.5216323451769,249.2492112288293,241.23439699177757,316.9667680716748,315.48661945352956,248.22668366687796,2.43115234375,2.2246246337890625,-1.438629150390625,3.3862457275390625,26,22,33,43,0,0,0,0,1,1,1,1,6.273303255552438,9.328792071037793,9.055059385159757,7.025779623923171,37.72609574946864,52.13920917093128,47.63095651741696,45.36419961632146,64,64,64,64,5.243375879971924,5.567672684280843,8.058156682339275,5.602102993320146,applied,applied,applied,applied
3200,0.0333333,10/300,,0,P1019709.RW2,P1019710.RW2,65536,2628.3421325683594,4151.793701171875,4171.444046020508,2992.528823852539,136.20125396798417,178.7672462841355,178.9506812534286,141.06176705794607,2628.2688903808594,4150.7646484375,4171.033203125,2992.518829345703,134.82521038162116,178.46535076124889,179.7884780700711,140.8969448983678,135.9460890073777,178.5066585113035,178.5552572988226,140.67842375380437,136.23755382421768,178.8435356717562,179.01579033753725,141.14486305459383,134.85671287327347,178.57046200912268,179.8834116181567,140.97272125161203,135.98119307747416,178.58319983983736,178.6218800360498,140.76421025368185,190.18872423687017,251.27742998014963,251.8438262310711,198.62938350052383,189.45612751275942,250.44471757508538,250.7856075608785,197.61152775011212,0.0732421875,1.029052734375,0.4108428955078125,0.0099945068359375,38,34,41,50,0,0,0,0,1,1,1,1,3.7840269607027506,6.17436009092176,6.033153662436386,4.693416920294006,15.605307478172563,29.008620674794656,41.976791342205615,27.404879620824886,64,64,64,64,3.861424534203221,4.861712894189652,5.451775842884913,4.065711375864394,applied,applied,applied,applied
3200,0.02,10/500,,0,P1019711.RW2,P1019712.RW2,65536,1841.6828002929688,2798.3685607910156,2810.620895385742,2069.488067626953,107.92172376278417,140.925714263421,141.00998176144097,112.40924125411566,1841.2221069335938,2798.150100708008,2811.059356689453,2069.941452026367,107.52230041285218,141.22229148509322,141.540584511545,112.66990554402348,107.71958831909357,140.6812221641231,140.83390932484625,112.21073531782326,107.9664260672642,140.9865247081795,141.03828894790925,112.43885336172998,107.54022244367334,141.26496514907163,141.58685343533276,112.73204563178196,107.7637467588349,140.7424836725312,140.86178158251005,112.24018447352867,152.0384581468819,199.47328251480982,198.82434123267757,158.38774886234884,151.44725736763888,198.74763480971765,198.26082802544315,157.76838043692294,0.460693359375,0.2184600830078125,-0.4384613037109375,-0.4533843994140625,40,36,29,39,0,0,0,0,1,1,1,1,2.9413055650131477,4.584031111925255,3.987108124884535,3.9423818039715046,18.33320414709101,24.969767182141368,19.97955517202081,16.462751724653117,64,64,64,64,2.9808391757021475,3.869762974700461,4.206570497732135,2.766979707522353,applied,applied,applied,applied
3200,0.0125,10/800,,0,P1019713.RW2,P1019714.RW2,65536,1348.3733825683594,1948.9317321777344,1957.3747863769531,1492.4295196533203,85.90724469536777,111.65186564191983,112.06774299367606,89.50245461422375,1348.0462188720703,1948.6152648925781,1955.951904296875,1491.790298461914,85.26251606753351,112.02450022802626,112.6791717630328,89.1469971977327,85.75711802779439,111.50010700254336,111.87905996737486,89.2162866329264,85.91976499661484,111.67498458964778,112.09685961571137,89.51890186071054,85.27295887834808,112.03668589632683,112.71015906192089,89.1553935574704,85.76956337240611,111.5216708294608,111.90728428190324,89.23219238422179,121.30110599947018,157.26973379726323,158.07892497382736,125.93447802623707,120.8997499901077,156.91209124518684,157.5604068704634,125.24608813069881,0.3271636962890625,0.31646728515625,1.422882080078125,0.63922119140625,33,23,34,53,0,0,0,0,1,1,1,1,1.7749562508994121,2.702952918692428,2.829948050742974,1.6411543837353892,11.192534088515458,12.108617783771024,14.773711038393913,9.709441835395864,64,64,64,64,2.497608868624332,2.4907940831596043,2.644943646123052,3.1804722911870846,applied,applied,applied,applied
3200,0.008,10/1250,,0,P1019715.RW2,P1019716.RW2,65536,1040.2171478271484,1420.2129211425781,1425.7295989990234,1130.797134399414,68.27673246476128,88.92643468229896,89.03048754819038,71.24494434538613,1039.8085021972656,1419.7792663574219,1425.3787841796875,1132.062484741211,68.47208778443635,89.07598415547942,88.95426409486763,71.24602925719263,68.15612264165792,88.78109202060679,88.92568397333058,71.0970335517139,68.27673246476128,88.95580917990434,89.03962196552371,71.25213992137948,68.47208778443635,89.07972387457517,88.96575062703157,71.24950503710103,68.15612264165792,88.80922976416403,88.93477885702306,71.10473895984751,96.35346960499074,125.53290482377972,125.45534948858361,100.52718454553485,96.07043586927622,125.06999587311898,125.12694142213753,100.15080554240211,0.4086456298828125,0.43365478515625,0.3508148193359375,-1.265350341796875,29,37,26,39,0,0,0,0,0,1,1,1,0,2.441500003919247,1.5860889971385432,1.245663753472627,0,10.681025385635849,11.272991605694642,11.003737724073744,0,64,64,64,,2.240576011906934,2.283180359498231,1.9706447611666746,low-signal,applied,applied,applied
3200,0.005,10/2000,,0,P1019717.RW2,P1019718.RW2,65536,844.5539855957031,1083.1524047851562,1086.0232391357422,901.378662109375,54.70896789436038,70.83313265353341,71.13914198296824,56.92874698003438,844.1891479492188,1084.0274353027344,1086.8681030273438,902.261962890625,54.59090205934222,70.85263240784141,71.18524532281985,56.929543514008756,54.597185609672884,70.7149126297041,70.98802495532065,56.78957102669227,54.70896789436038,70.82751255255928,71.14189462459339,56.92874698003438,54.59090205934222,70.86062200645559,71.18797773492862,56.929543514008756,54.597185609672884,70.7090086997174,70.99090418603164,56.78957102669227,77.06223242693949,100.05702596952783,100.03593126738991,80.29353330954473,76.80111794387787,99.77405070678704,99.64225325018944,79.98204802788072,0.364837646484375,-0.875030517578125,-0.8448638916015625,-0.88330078125,32,30,39,39,0,0,0,0,0,1,1,0,0,1.1934759355762499,0.880856577075133,0,0,6.517431077583524,4.379602775260537,0,0,64,64,0,,1.8393007667420127,2.031189304154911,,low-signal,applied,applied,low-signal
